optimus_id,age,vh14p,vh12g,vote,prob
861681,69,0,0,1,0.53088216
1084850,20,0,0,0,0.005638879
644435,28,0,0,0,0.012239701
57683,78,0,0,0,0.014889362
167371,68,0,0,1,0.452015508
974034,69,0,0,0,0.105136605
660415,53,0,0,0,0.016802072
313964,36,0,0,0,0.170222264
720804,53,0,0,0,0.186934953
547190,30,0,0,0,0.274374421
960468,30,0,0,0,0.00621948
981530,49,0,0,0,0.007702804
588688,47,0,0,0,0.176648375
876200,47,0,0,0,0.15306495
548469,65,0,0,0,0.021732997
411609,66,0,1,1,0.959701971
941281,73,0,0,0,0.036992865
234208,26,0,0,0,0.004060248
597777,37,0,0,0,0.006442626
274336,44,0,1,1,0.911352047
198876,26,0,0,0,0.014066796
14339,67,0,0,0,0.024459682
179933,65,0,1,1,0.559708155
564484,46,0,0,0,0.006680913
11866,64,0,0,0,0.249175348
200686,44,0,0,0,0.023613681
58953,60,0,1,1,0.65126502
796126,35,0,0,0,0.394010824
362076,54,0,0,0,0.008625033
421768,25,0,0,0,0.007508785
966514,77,0,0,0,0.023965138
1064390,76,1,1,1,0.995702774
838230,30,0,0,0,0.008675599
755035,84,0,0,0,0.0267888
1072885,34,0,0,0,0.325542125
420837,39,0,0,0,0.006411464
1082391,72,0,0,1,0.780322772
227120,25,0,0,0,0.00951044
311035,28,0,0,0,0.006019011
363704,65,0,0,1,0.514239047
456756,55,0,0,0,0.281534768
42840,61,0,0,1,0.510344655
799729,61,0,1,1,0.98391249
726283,55,0,1,1,0.474781534
583915,74,1,1,1,0.995192622
308032,62,0,0,0,0.01005082
168505,39,0,0,0,0.209773558
735259,58,0,0,0,0.02868894
66912,57,0,0,1,0.495592694
662823,70,0,1,1,0.522834717
1019730,44,0,1,0,0.169885241
61697,66,0,0,0,0.030152208
57229,40,0,0,0,0.012495128
741505,63,0,0,0,0.037129769
132125,65,0,0,1,0.608831275
600740,43,0,0,0,0.278362403
51709,52,0,0,0,0.010199538
915317,43,0,0,0,0.013758944
202936,41,0,0,0,0.013455068
